timestamp,status,duration_ms
2026-01-13T17:37:17.8517813+05:30,200,3662
2026-01-13T17:37:21.0787474+05:30,200,3220
2026-01-13T17:37:23.7646050+05:30,200,2684
2026-01-13T17:37:26.1660068+05:30,200,2401
2026-01-13T17:37:28.8336934+05:30,200,2666
2026-01-13T17:37:31.7509181+05:30,200,2916
2026-01-13T17:37:34.5121875+05:30,200,2760
2026-01-13T17:37:37.3626817+05:30,200,2850
2026-01-13T17:37:41.1994682+05:30,200,3836
2026-01-13T17:37:44.1307393+05:30,200,2929
2026-01-13T17:37:47.1491097+05:30,200,3012
2026-01-13T17:37:50.0685284+05:30,200,2919
2026-01-13T17:37:53.7183724+05:30,200,3647
2026-01-13T17:37:56.9115057+05:30,200,3192
2026-01-13T17:37:59.4695965+05:30,200,2557
2026-01-13T17:38:01.9078957+05:30,200,2420
2026-01-13T17:38:04.8104867+05:30,200,2901
2026-01-13T17:38:07.2986370+05:30,200,2487
2026-01-13T17:38:10.8213864+05:30,200,3522
2026-01-13T17:38:14.6578815+05:30,200,3835
